DEBUG 2023-10-03 21:51:53,169 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\template\response.py first seen with mtime 1696004250.7905736
DEBUG 2023-10-03 21:51:53,178 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\socket.py first seen with mtime 1694630748.8182468
DEBUG 2023-10-03 21:51:53,179 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\pprint.py first seen with mtime 1694630746.4824712
DEBUG 2023-10-03 21:51:53,180 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\subprocess.py first seen with mtime 1694630744.867097
DEBUG 2023-10-03 21:51:53,180 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\models\query.py first seen with mtime 1696004250.591568
DEBUG 2023-10-03 21:51:53,181 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\email\feedparser.py first seen with mtime 1694630745.1963408
DEBUG 2023-10-03 21:51:53,182 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\sysconfig.py first seen with mtime 1694630748.8182468
DEBUG 2023-10-03 21:51:53,182 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1696004250.6023085
DEBUG 2023-10-03 21:51:53,183 autoreload File C:\Users\alecb\education_project\education_project\__init__.py first seen with mtime 1696004420.610515
DEBUG 2023-10-03 21:51:53,183 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1696004250.805472
DEBUG 2023-10-03 21:51:53,183 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1696004250.837682
DEBUG 2023-10-03 21:51:53,184 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1696004245.536469
DEBUG 2023-10-03 21:51:53,184 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\taskgroups.py first seen with mtime 1694630744.867097
DEBUG 2023-10-03 21:51:53,185 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1696004250.2664003
DEBUG 2023-10-03 21:51:53,185 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\asgiref\sync.py first seen with mtime 1696004254.7730389
DEBUG 2023-10-03 21:51:53,186 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\hashlib.py first seen with mtime 1694630745.6509628
DEBUG 2023-10-03 21:51:53,186 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\exceptions.py first seen with mtime 1694630744.8514698
DEBUG 2023-10-03 21:51:53,186 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1696004250.1997306
DEBUG 2023-10-03 21:51:53,188 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\DLLs\_uuid.pyd first seen with mtime 1694630744.067554
DEBUG 2023-10-03 21:51:53,188 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1696004250.4730237
DEBUG 2023-10-03 21:51:53,189 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\views\debug.py first seen with mtime 1696004250.9077911
DEBUG 2023-10-03 21:51:53,189 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\process.py first seen with mtime 1694630746.4195864
DEBUG 2023-10-03 21:51:53,190 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1696004245.3797536
DEBUG 2023-10-03 21:51:53,190 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1696004249.2328875
DEBUG 2023-10-03 21:51:53,190 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1696004250.1517587
DEBUG 2023-10-03 21:51:53,191 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1696004250.5785797
DEBUG 2023-10-03 21:51:53,191 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\email\mime\nonmultipart.py first seen with mtime 1694630745.1963408
